Month,BNF_Name,QTY,NIC
2023-07-01,Daridorexant 25mg tablets,0,0.0
2023-07-01,Daridorexant 50mg tablets,0,0.0
2023-07-01,Quviviq 25mg tablets,0,0.0
2023-07-01,Quviviq 50mg tablets,0,0.0
2023-08-01,Daridorexant 25mg tablets,0,0.0
2023-08-01,Daridorexant 50mg tablets,0,0.0
2023-08-01,Quviviq 25mg tablets,0,0.0
2023-08-01,Quviviq 50mg tablets,0,0.0
2023-09-01,Daridorexant 25mg tablets,0,0.0
2023-09-01,Daridorexant 50mg tablets,0,0.0
2023-09-01,Quviviq 25mg tablets,0,0.0
2023-09-01,Quviviq 50mg tablets,0,0.0
2023-10-01,Daridorexant 25mg tablets,0,0.0
2023-10-01,Daridorexant 50mg tablets,0,0.0
2023-10-01,Quviviq 25mg tablets,30,42.0
2023-10-01,Quviviq 50mg tablets,0,0.0
2023-11-01,Daridorexant 25mg tablets,690,966.0
2023-11-01,Daridorexant 50mg tablets,709,992.6
2023-11-01,Quviviq 25mg tablets,30,42.0
2023-11-01,Quviviq 50mg tablets,150,210.0
2023-12-01,Daridorexant 25mg tablets,2166,3032.4
2023-12-01,Daridorexant 50mg tablets,1628,2279.2
2023-12-01,Quviviq 25mg tablets,150,210.0
2023-12-01,Quviviq 50mg tablets,30,42.0
2024-01-01,Daridorexant 25mg tablets,4055,5677.0
2024-01-01,Daridorexant 50mg tablets,3267,4573.8
2024-01-01,Quviviq 25mg tablets,238,333.2
2024-01-01,Quviviq 50mg tablets,88,123.2
2024-02-01,Daridorexant 25mg tablets,6566,9192.4
2024-02-01,Daridorexant 50mg tablets,6231,8723.4
2024-02-01,Quviviq 25mg tablets,282,394.8
2024-02-01,Quviviq 50mg tablets,240,336.0
2024-03-01,Daridorexant 25mg tablets,9786,13700.4
2024-03-01,Daridorexant 50mg tablets,10924,15293.6
2024-03-01,Quviviq 25mg tablets,548,767.2
2024-03-01,Quviviq 50mg tablets,360,504.0
2024-04-01,Daridorexant 25mg tablets,12690,17766.0
2024-04-01,Daridorexant 50mg tablets,16166,22632.4
2024-04-01,Quviviq 25mg tablets,508,711.2
2024-04-01,Quviviq 50mg tablets,656,918.4
2024-05-01,Daridorexant 25mg tablets,14182,19854.8
2024-05-01,Daridorexant 50mg tablets,21228,29719.2
2024-05-01,Quviviq 25mg tablets,546,764.4
2024-05-01,Quviviq 50mg tablets,570,798.0
2024-06-01,Daridorexant 25mg tablets,15698,21977.2
2024-06-01,Daridorexant 50mg tablets,22609,31652.6
2024-06-01,Quviviq 25mg tablets,1147,1605.8
2024-06-01,Quviviq 50mg tablets,656,918.4
2024-07-01,Daridorexant 25mg tablets,20611,28855.4
2024-07-01,Daridorexant 50mg tablets,32565,45591.0
2024-07-01,Quviviq 25mg tablets,1260,1764.0
2024-07-01,Quviviq 50mg tablets,1254,1755.6
2024-08-01,Daridorexant 25mg tablets,23290,32606.0
2024-08-01,Daridorexant 50mg tablets,37946,53124.4
2024-08-01,Quviviq 25mg tablets,1222,1710.8
2024-08-01,Quviviq 50mg tablets,1227,1717.8
2024-09-01,Daridorexant 25mg tablets,27310,38234.0
2024-09-01,Daridorexant 50mg tablets,44722,62610.8
2024-09-01,Quviviq 25mg tablets,753,1054.2
2024-09-01,Quviviq 50mg tablets,1348,1887.2
2024-10-01,Daridorexant 25mg tablets,35653,49914.2
2024-10-01,Daridorexant 50mg tablets,62805,87927.0
2024-10-01,Quviviq 25mg tablets,1402,1962.8
2024-10-01,Quviviq 50mg tablets,1489,2084.6
2024-11-01,Daridorexant 25mg tablets,41350,57890.0
2024-11-01,Daridorexant 50mg tablets,72999,102198.6
2024-11-01,Quviviq 25mg tablets,1421,1989.4
2024-11-01,Quviviq 50mg tablets,2626,3676.4
2024-12-01,Daridorexant 25mg tablets,49173,68842.2
2024-12-01,Daridorexant 50mg tablets,85482,119674.8
2024-12-01,Quviviq 25mg tablets,1646,2304.4
2024-12-01,Quviviq 50mg tablets,2978,4169.2
2025-01-01,Daridorexant 25mg tablets,59859,83802.6
2025-01-01,Daridorexant 50mg tablets,105580,147812.0
2025-01-01,Quviviq 25mg tablets,2035,2849.0
2025-01-01,Quviviq 50mg tablets,3207,4489.8
2025-02-01,Daridorexant 25mg tablets,60007,84009.8
2025-02-01,Daridorexant 50mg tablets,114945,160923.0
2025-02-01,Quviviq 25mg tablets,1579,2210.6
2025-02-01,Quviviq 50mg tablets,3249,4548.6
2025-03-01,Daridorexant 25mg tablets,69994,97991.6
2025-03-01,Daridorexant 50mg tablets,136881,191633.4
2025-03-01,Quviviq 25mg tablets,2264,3169.6
2025-03-01,Quviviq 50mg tablets,3935,5509.0
2025-04-01,Daridorexant 25mg tablets,75409,105572.6
2025-04-01,Daridorexant 50mg tablets,146739,205434.6
2025-04-01,Quviviq 25mg tablets,2072,2900.8
2025-04-01,Quviviq 50mg tablets,4680,6552.0
2025-05-01,Daridorexant 25mg tablets,92790,129906.0
2025-05-01,Daridorexant 50mg tablets,168369,235716.6
2025-05-01,Quviviq 25mg tablets,2183,3056.2
2025-05-01,Quviviq 50mg tablets,5398,7557.2
2025-06-01,Daridorexant 25mg tablets,102366,143312.4
2025-06-01,Daridorexant 50mg tablets,192572,269600.8
2025-06-01,Quviviq 25mg tablets,2453,3434.2
2025-06-01,Quviviq 50mg tablets,5835,8169.0
