Month,QTY
2023-07-01,0.0
2023-08-01,0.0
2023-09-01,0.0
2023-10-01,7.5
2023-11-01,321.8
2023-12-01,930.5
2024-01-01,1890.142857142857
2024-02-01,3318.75
2024-03-01,5352.0
2024-04-01,7818.8
2024-05-01,10428.545454545454
2024-06-01,12902.0
2024-07-01,17542.833333333332
2024-08-01,22849.916666666668
2024-09-01,29027.666666666668
2024-10-01,37470.916666666664
2024-11-01,47205.666666666664
2024-12-01,58481.083333333336
2025-01-01,72067.16666666667
2025-02-01,85938.91666666667
2025-03-01,101893.58333333333
2025-04-01,118466.91666666667
2025-05-01,137818.08333333334
2025-06-01,159744.41666666666
