Month,Product_Group,QTY,NIC
2023-07-01,Quviviq 25,0,0.0
2023-07-01,Quviviq 50,0,0.0
2023-08-01,Quviviq 25,0,0.0
2023-08-01,Quviviq 50,0,0.0
2023-09-01,Quviviq 25,0,0.0
2023-09-01,Quviviq 50,30,42.0
2023-10-01,Quviviq 25,30,42.0
2023-10-01,Quviviq 50,90,126.0
2023-11-01,Quviviq 25,870,1218.0
2023-11-01,Quviviq 50,1519,2126.6
2023-12-01,Quviviq 25,2436,3410.4
2023-12-01,Quviviq 50,1898,2657.2
2024-01-01,Quviviq 25,4323,6052.2
2024-01-01,Quviviq 50,3715,5201.0
2024-02-01,Quviviq 25,6848,9587.2
2024-02-01,Quviviq 50,7371,10319.4
2024-03-01,Quviviq 25,10334,14467.6
2024-03-01,Quviviq 50,11974,16763.6
2024-04-01,Quviviq 25,13386,18740.4
2024-04-01,Quviviq 50,17542,24558.8
2024-05-01,Quviviq 25,15028,21039.2
2024-05-01,Quviviq 50,22908,32071.2
2024-06-01,Quviviq 25,17115,23961.0
2024-06-01,Quviviq 50,24175,33845.0
2024-07-01,Quviviq 25,22351,31291.4
2024-07-01,Quviviq 50,35019,49026.6
2024-08-01,Quviviq 25,25329,35460.6
2024-08-01,Quviviq 50,41197,57675.8
2024-09-01,Quviviq 25,28948,40527.2
2024-09-01,Quviviq 50,47314,66239.6
2024-10-01,Quviviq 25,38643,54100.2
2024-10-01,Quviviq 50,65594,91831.6
2024-11-01,Quviviq 25,44869,62816.6
2024-11-01,Quviviq 50,77215,108101.0
2024-12-01,Quviviq 25,52447,73425.8
2024-12-01,Quviviq 50,89540,125356.0
2025-01-01,Quviviq 25,63754,89255.6
2025-01-01,Quviviq 50,110427,154597.8
2025-02-01,Quviviq 25,62666,87732.4
2025-02-01,Quviviq 50,119634,167487.6
2025-03-01,Quviviq 25,74028,103639.2
2025-03-01,Quviviq 50,141896,198654.4
2025-04-01,Quviviq 25,78740,110236.0
2025-04-01,Quviviq 50,152619,213666.6
2025-05-01,Quviviq 25,97147,136005.8
2025-05-01,Quviviq 50,175658,245921.2
2025-06-01,Quviviq 25,106250,148750.0
2025-06-01,Quviviq 50,200928,281299.2
