Month,Forecast_QTY,Forecast_NIC,Forecast_ITEMS
2025-07-01,345405.9317376476,483803.2932708736,11989.963043759466
2025-08-01,379544.80835915543,533406.2846248659,13234.86182513605
2025-09-01,414139.2918875753,584930.4986901733,14394.598736701411
2025-10-01,457468.25625866704,648034.056212677,15831.77660560997
2025-11-01,496885.09688991314,704850.3511346935,17102.09315832672
2025-12-01,536029.9715354438,760435.9076716726,18308.832898267883
2026-01-01,581230.4875050468,824990.5046571615,19763.55215908418
2026-02-01,613010.4177006154,871637.0716222766,20759.127415551146
2026-03-01,656991.207427877,936842.1149964286,22200.418958886567
2026-04-01,688509.8065493433,983139.8408244585,23281.607676288295
2026-05-01,730359.5090512942,1042750.7032836919,24736.193486657517
2026-06-01,764207.7926700148,1089884.9281798769,25962.49730039908
